Valve Brand,Fittings-Manif,Hose Dia,Hose Len,Fitting-Cyl,Cylinder,,TD1,TD2,TD3,,Valve Brand,Fittings-Manif,Hose Dia,Hose Len,Fitting-Cyl,Cylinder
1,-1,1,1,1,1,,0.2,0.1,0.2,1,Parker,180,16,long,180,large
-1,-1,1,-1,1,-1,,,,,-1,Naichi,90,8,short,90,small
1,1,1,1,-1,-1,,,,,,,,,,,
-1,1,1,-1,1,-1,,,,,,,,,,,
-1,-1,-1,1,-1,1,,,,,,,,,,,
-1,-1,1,1,1,-1,,,,,,,,,,,
1,1,1,-1,1,-1,,,,,,,,,,,
-1,-1,-1,-1,1,1,,,,,,,,,,,
-1,-1,-1,1,-1,-1,,,,,,,,,,,
-1,-1,-1,-1,-1,1,,,,,,,,,,,
-1,1,-1,1,1,-1,,,,,,,,,,,
1,-1,-1,-1,-1,-1,,,,,,,,,,,
-1,1,1,1,-1,1,,,,,,,,,,,
1,1,-1,-1,1,-1,,,,,,,,,,,
-1,1,1,-1,-1,1,,,,,,,,,,,
1,1,-1,-1,-1,-1,,,,,,,,,,,
1,1,-1,1,-1,-1,,,,,,,,,,,
1,-1,-1,1,1,-1,,,,,,,,,,,
1,-1,-1,1,-1,1,,,,,,,,,,,
-1,-1,1,-1,1,1,,,,,,,,,,,
-1,1,-1,1,-1,-1,,,,,,,,,,,
-1,1,1,-1,1,1,,,,,,,,,,,
-1,1,-1,-1,1,-1,,,,,,,,,,,
-1,1,1,1,-1,-1,,,,,,,,,,,
1,1,-1,1,-1,1,,,,,,,,,,,
1,-1,1,1,-1,-1,,,,,,,,,,,
1,-1,1,-1,-1,1,,,,,,,,,,,
1,1,-1,1,1,-1,,,,,,,,,,,
1,1,1,1,1,-1,,,,,,,,,,,
1,-1,1,-1,1,-1,,,,,,,,,,,
-1,1,1,1,1,-1,,,,,,,,,,,
1,-1,-1,-1,1,1,,,,,,,,,,,
1,-1,-1,-1,-1,1,,,,,,,,,,,
-1,-1,-1,-1,1,-1,,,,,,,,,,,
-1,-1,-1,1,1,-1,,,,,,,,,,,
-1,-1,-1,1,1,1,,,,,,,,,,,
-1,-1,1,-1,-1,-1,,,,,,,,,,,
1,-1,1,-1,1,1,,,,,,,,,,,
-1,-1,-1,-1,-1,-1,,,,,,,,,,,
1,-1,-1,1,1,1,,,,,,,,,,,
-1,1,1,1,1,1,,,,,,,,,,,
1,-1,1,-1,-1,-1,,,,,,,,,,,
1,-1,-1,-1,1,-1,,,,,,,,,,,
-1,1,-1,-1,-1,-1,,,,,,,,,,,
1,-1,1,1,1,-1,,,,,,,,,,,
1,1,1,1,-1,1,,,,,,,,,,,
1,1,-1,-1,-1,1,,,,,,,,,,,
-1,-1,1,1,-1,1,,,,,,,,,,,
-1,-1,1,1,-1,-1,,,,,,,,,,,
-1,1,-1,-1,1,1,,,,,,,,,,,
-1,1,-1,1,-1,1,,,,,,,,,,,
-1,1,-1,1,1,1,,,,,,,,,,,
1,1,1,-1,-1,1,,,,,,,,,,,
1,1,1,-1,1,1,,,,,,,,,,,
-1,-1,1,-1,-1,1,,,,,,,,,,,
1,-1,1,1,-1,1,,,,,,,,,,,
1,1,1,1,1,1,,,,,,,,,,,
1,1,-1,1,1,1,,,,,,,,,,,
-1,1,1,-1,-1,-1,,,,,,,,,,,
1,1,1,-1,-1,-1,,,,,,,,,,,
-1,1,-1,-1,-1,1,,,,,,,,,,,
-1,-1,1,1,1,1,,,,,,,,,,,
1,-1,-1,1,-1,-1,,,,,,,,,,,
1,1,-1,-1,1,1,,,,,,,,,,,
